"subject_type","subject_source","subject_id","predicate","object_type","object_source","object_id","qualifier","remarks"
"recordings","","9028","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","70","",""
"recordings","","9028","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15400","",""
"recordings","","9028","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9029","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","70","",""
"recordings","","9029","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15400","",""
"recordings","","9029","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9030","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","99","",""
"recordings","","9030","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16177","",""
"recordings","","9030","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9031","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","99","",""
"recordings","","9031","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16177","",""
"recordings","","9031","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9032","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","99","",""
"recordings","","9032","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16177","",""
"recordings","","9032","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9033","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","99","",""
"recordings","","9033","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16177","",""
"recordings","","9033","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9034","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","106","",""
"recordings","","9034","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","11221","",""
"recordings","","9035","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","106","",""
"recordings","","9035","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","11221","",""
"recordings","","9035","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9036","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","106","",""
"recordings","","9036","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","11221","",""
"recordings","","9036","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9037","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","72","",""
"recordings","","9037","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15595","",""
"recordings","","9037","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9038","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","72","",""
"recordings","","9038","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9039","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","72","",""
"recordings","","9039","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15595","",""
"recordings","","9039","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9040","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9040","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17082","",""
"recordings","","9040","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9041","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9041","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17083","",""
"recordings","","9041","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9042","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9042","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17083","",""
"recordings","","9042","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9043","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9043","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17084","",""
"recordings","","9043","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9044","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9044","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17084","",""
"recordings","","9044","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9045","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","90","",""
"recordings","","9045","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17084","",""
"recordings","","9045","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
