"id","title","file","subtype","creator","license","post_date","type","size_raw","width","height","caption"
"24423","20170824113358.jpg","https://bio.acousti.ca/sites/default/files/20170824113358.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","864892","2338","1654",""
"24424","20170824113438.jpg","https://bio.acousti.ca/sites/default/files/20170824113438.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","952836","2338","1654",""
"24425","20170824113506.jpg","https://bio.acousti.ca/sites/default/files/20170824113506.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1067811","2338","1654",""
"24426","20170824113520.jpg","https://bio.acousti.ca/sites/default/files/20170824113520.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","887626","2338","1654",""
"24427","20170824113537.jpg","https://bio.acousti.ca/sites/default/files/20170824113537.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","960250","2338","1654",""
"24563","20170907103445.jpg","https://bio.acousti.ca/sites/default/files/20170907103445.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1196825","2338","1654",""
"24564","20170907103507.jpg","https://bio.acousti.ca/sites/default/files/20170907103507.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1791801","2338","1654",""
"24565","20170907103526.jpg","https://bio.acousti.ca/sites/default/files/20170907103526.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1824323","2338","1654",""
"24566","20170907103550.jpg","https://bio.acousti.ca/sites/default/files/20170907103550.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1178039","2338","1654",""
"24567","20170907103612.jpg","https://bio.acousti.ca/sites/default/files/20170907103612.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2604860","2866","2024",""
"24568","20170907103636.jpg","https://bio.acousti.ca/sites/default/files/20170907103636.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2631181","2866","2024",""
"24569","20170907103656.jpg","https://bio.acousti.ca/sites/default/files/20170907103656.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1117630","2338","1654",""
"24570","20170907103734.jpg","https://bio.acousti.ca/sites/default/files/20170907103734.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2139980","2866","2024",""
"24571","20170907103753.jpg","https://bio.acousti.ca/sites/default/files/20170907103753.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2115736","2866","2024",""
"24573","20170907103810.jpg","https://bio.acousti.ca/sites/default/files/20170907103810_0.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1135501","2338","1654",""
"24575","20170907103832.jpg","https://bio.acousti.ca/sites/default/files/20170907103832_0.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2244703","2866","2024",""
"24576","20170907103855.jpg","https://bio.acousti.ca/sites/default/files/20170907103855.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2268389","2866","2024",""
"24577","20170907103912.jpg","https://bio.acousti.ca/sites/default/files/20170907103912.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1095875","2338","1654",""
