"id","name","continent","countryCode","stateProvince","county","island","islandGroup","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","info_url"
"11622","Africa: South Africa: Limpopo: Morning Sun Ranch, Makhado","Africa","ZA","","Limpopo","","","Morning Sun Ranch, Makhado","-22.94","29.876","","","","","","https://bio.acousti.ca/node/11622"
"11623","Africa: South Africa: Western Cape: Morning Sun Ranch, Makhado","Africa","ZA","","Western Cape","","","Morning Sun Ranch, Makhado","-22.944","29.891","","","","","","https://bio.acousti.ca/node/11623"
"11624","Africa: South Africa: KwaZulu-Natal: Umlalazi N.R. Mtunzini","Africa","ZA","","KwaZulu-Natal","","","Umlalazi N.R. Mtunzini","-28.956","31.772","","","","","","https://bio.acousti.ca/node/11624"
"11625","Africa: South Africa: KwaZulu-Natal: Trafalgar","Africa","ZA","","KwaZulu-Natal","","","Trafalgar","-30.959","30.295","","","","","","https://bio.acousti.ca/node/11625"
"11626","Africa: South Africa: Limpopo: Morning Sun Ranch, Makhado","Africa","ZA","","Limpopo","","","Morning Sun Ranch, Makhado","-22.944","29.905","","","","","","https://bio.acousti.ca/node/11626"
"11627","Africa: Malawi: : M1 N Dedza","Africa","","","","","","M1 N Dedza","-14.306","34.178","","","","","","https://bio.acousti.ca/node/11627"
"11628","Africa: South Africa: Eastern Cape: Queenstown","Africa","ZA","","Eastern Cape","","","Queenstown","-31.895","26.893","","","","","","https://bio.acousti.ca/node/11628"
"11629","Africa: South Africa: Eastern Cape: Haga Haga","Africa","ZA","","Eastern Cape","","","Haga Haga","-32.759","28.25","","","","","","https://bio.acousti.ca/node/11629"
"11630","Africa: South Africa: Western Cape: Arniston","Africa","ZA","","Western Cape","","","Arniston","-34.661","20.22","","","","","","https://bio.acousti.ca/node/11630"
"11631","Africa: South Africa: Western Cape: 4km W Die Dam","Africa","ZA","","Western Cape","","","4km W Die Dam","-34.75","19.678","","","","","","https://bio.acousti.ca/node/11631"
"11632","Africa: South Africa: Eastern Cape: Gamtoos Pass","Africa","ZA","","Eastern Cape","","","Gamtoos Pass","-33.912","25.05","","","","","","https://bio.acousti.ca/node/11632"
"11633","Africa: South Africa: KwaZulu-Natal: Liesure Bay","Africa","ZA","","KwaZulu-Natal","","","Liesure Bay","-31.015","30.234","","","","","","https://bio.acousti.ca/node/11633"
"11634","Africa: South Africa: KwaZulu-Natal: Nkandhla Forest","Africa","ZA","","KwaZulu-Natal","","","Nkandhla Forest","-28.71","31.143","","","","","","https://bio.acousti.ca/node/11634"
"11635","Africa: South Africa: Western Cape: Sir Lowry's Pass","Africa","ZA","","Western Cape","","","Sir Lowry's Pass","-34.135","18.925","","","","","","https://bio.acousti.ca/node/11635"
"11636","Africa: South Africa: Western Cape: Grabow","Africa","ZA","","Western Cape","","","Grabow","-34.162","19.011","","","","","","https://bio.acousti.ca/node/11636"
"11637","Africa: South Africa: Western Cape: Houwhoek Pass","Africa","ZA","","Western Cape","","","Houwhoek Pass","-34.229","19.188","","","","","","https://bio.acousti.ca/node/11637"
"11638","Africa: South Africa: Western Cape: Prince Albert Pass","Africa","ZA","","Western Cape","","","Prince Albert Pass","-33.865","23.153","","","","","","https://bio.acousti.ca/node/11638"
"11639","Africa: South Africa: Eastern Cape: N2 nr Humansdorp","Africa","ZA","","Eastern Cape","","","N2 nr Humansdorp","-34.054","24.493","","","","","","https://bio.acousti.ca/node/11639"
"11640","Africa: South Africa: Western Cape: 20km W Swellendam R324","Africa","ZA","","Western Cape","","","20km W Swellendam R324","-34.011","20.623","","","","","","https://bio.acousti.ca/node/11640"
"11641","Africa: South Africa: Western Cape: R328 Robinson Pass","Africa","ZA","","Western Cape","","","R328 Robinson Pass","-33.982","22.042","","","","","","https://bio.acousti.ca/node/11641"
"11642","Africa: South Africa: Western Cape: Swartberg Pass","Africa","ZA","","Western Cape","","","Swartberg Pass","-33.368","22.102","","","","","","https://bio.acousti.ca/node/11642"
"11643","Africa: South Africa: Western Cape: Tradouws Pass","Africa","ZA","","Western Cape","","","Tradouws Pass","-33.924","20.711","","","","","","https://bio.acousti.ca/node/11643"
"11644","Africa: South Africa: Western Cape: nr Witrivier","Africa","ZA","","Western Cape","","","nr Witrivier","-33.511","19.193","","","","","","https://bio.acousti.ca/node/11644"
"11645","Africa: South Africa: Eastern Cape: 10km E Hankey","Africa","ZA","","Eastern Cape","","","10km E Hankey","-33.841","24.991","","","","","","https://bio.acousti.ca/node/11645"
"11646","Africa: South Africa: Eastern Cape: nr Coffee Bay","Africa","ZA","","Eastern Cape","","","nr Coffee Bay","-31.911","28.961","","","","","","https://bio.acousti.ca/node/11646"
"11647","Africa: South Africa: Eastern Cape: Port St. Johns","Africa","ZA","","Eastern Cape","","","Port St. Johns","-31.64","29.515","","","","","","https://bio.acousti.ca/node/11647"
"11648","Africa: South Africa: Eastern Cape: Horns-up Pub, Kenton","Africa","ZA","","Eastern Cape","","","Horns-up Pub, Kenton","-33.653","26.653","","","","","","https://bio.acousti.ca/node/11648"
"11649","Africa: South Africa: Eastern Cape: Zuurberg Pass","Africa","ZA","","Eastern Cape","","","Zuurberg Pass","-33.381","25.714","","","","","","https://bio.acousti.ca/node/11649"
"11650","Africa: South Africa: Eastern Cape: Nico Malan Pass","Africa","ZA","","Eastern Cape","","","Nico Malan Pass","-32.383","26.91","","","","","","https://bio.acousti.ca/node/11650"
"11651","Africa: South Africa: Free State: N1 nr Harrismith","Africa","ZA","","Free State","","","N1 nr Harrismith","-28.318","29.187","","","","","","https://bio.acousti.ca/node/11651"
