"id","scientificName","basisOfRecord","institutionCode","collectionCode","catalogNumber","otherCatalogNumbers","typeStatus","sex","lifeStage","individualCount","recordedBy","eventDate","identifiedBy","dateIdentified","identificationQualifier","associatedSequences","locality","countryCode","decimalLatitude","decimalLongitude","occurrenceRemarks","info_url"
"11985","Platypleura hirta","PreservedSpecimen","AMGS","MHV Cicadas","986","","","","","","Ben Price","2007-12-14T00:00:00","Ben Price","","","","Blyde River Canyon","ZA","-24.685","30.813","","https://bio.acousti.ca/node/11985"
"11986","Platypleura hirta","PreservedSpecimen","AMGS","MHV Cicadas","987","","","","","","Ben Price","2007-12-14T00:00:00","Ben Price","2007-12-14T00:00:00","","","Blyde River Canyon","ZA","-24.637","30.81","","https://bio.acousti.ca/node/11986"
"11987","Platypleura hirtipennis","PreservedSpecimen","AMGS","MHV Cicadas","486","","","","","","M.H. Villet","2006-12-13T00:00:00","","","","","nr Coombs View","ZA","-33.281","26.808","","https://bio.acousti.ca/node/11987"
"11988","Platypleura hirtipennis","PreservedSpecimen","AMGS","MHV Cicadas","488","","","","","","M.H. Villet","2006-12-13T00:00:00","","","","","Fish River Hotel","ZA","-33.477","27.141","","https://bio.acousti.ca/node/11988"
"11989","Platypleura hirtipennis","PreservedSpecimen","AMGS","MHV Cicadas","1028","","","","","","Ben Price; M.H. Villet","2008-01-17T00:00:00","","2008-01-17T00:00:00","","","7km S Paterson","ZA","-33.486","25.932","","https://bio.acousti.ca/node/11989"
"11990","Munza laticlavia","PreservedSpecimen","AMGS","MHV Cicadas","247","","","","","","M.H. Villet","2005-12-11T00:00:00","","","","","Groblershoop","ZA","-28.886","21.979","","https://bio.acousti.ca/node/11990"
"11991","Oxypleura lenihani","PreservedSpecimen","AMGS","MHV Cicadas","958","","","","","","Ben Price","2007-12-11T00:00:00","","","","","Richards Bay","ZA","-28.71","32.189","","https://bio.acousti.ca/node/11991"
"11992","Ioba leopardina","PreservedSpecimen","AMGS","MHV Cicadas","961","","","","","","Ben Price","2007-12-15T00:00:00","","","","","R36 nr Tzaneen","ZA","-23.649","30.172","","https://bio.acousti.ca/node/11992"
"11993","Ioba leopardina","PreservedSpecimen","AMGS","MHV Cicadas","1411","","","","","","Ben Price","2008-12-07T00:00:00","","","","","Chikongawa (Perekezi)","","-11.937","33.698","","https://bio.acousti.ca/node/11993"
"11994","Platypleura maytenophila","PreservedSpecimen","AMGS","MHV Cicadas","955","","","","","","Ben Price","2007-12-11T00:00:00","","","","","nr Sodwana","ZA","-27.598","32.452","","https://bio.acousti.ca/node/11994"
"11995","Platypleura maytenophila","PreservedSpecimen","AMGS","MHV Cicadas","956","","","","","","Ben Price","2007-12-11T00:00:00","","","","","Umlalazi N.R. Mtunzini","ZA","-28.955","31.776","","https://bio.acousti.ca/node/11995"
"11996","Platypleura maytenophila","PreservedSpecimen","AMGS","MHV Cicadas","1519","","","","","","Ben Price; Paterson I. D.","2009-02-23T00:00:00","","","","","Iphiva Forest, St. Lucia","ZA","-28.353","32.433","","https://bio.acousti.ca/node/11996"
"11997","Platypleura mijburghi","PreservedSpecimen","AMGS","MHV Cicadas","963","","","","","","Ben Price","2007-12-14T00:00:00","","","","","R36 Abel Erasmus Pass","ZA","-24.552","30.622","","https://bio.acousti.ca/node/11997"
"11998","Platypleura mijburghi","PreservedSpecimen","AMGS","MHV Cicadas","964","","","","","","Ben Price","2007-12-11T00:00:00","","","","","Pongolapoort Pass","ZA","-27.497","32.012","","https://bio.acousti.ca/node/11998"
"11999","Orapa numa","PreservedSpecimen","AMGS","MHV Cicadas","1404","","","","","","Ben Price","2008-12-05T00:00:00","","","","","Chongoni Forest Reserve","","-14.32","34.264","","https://bio.acousti.ca/node/11999"
"12000","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","321","","","","","","M.H. Villet","2005-12-21T00:00:00","","","","","Ghwarriepoort River","ZA","-33.387","23.393","","https://bio.acousti.ca/node/12000"
"12001","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","329","","","","","","M.H. Villet","2005-12-11T00:00:00","","","","","Steydtlerville","ZA","-33.336","24.338","","https://bio.acousti.ca/node/12001"
"12002","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","501","","","","","","M.H. Villet","2006-12-22T00:00:00","","","","","Fort Brown","ZA","-33.132","26.618","","https://bio.acousti.ca/node/12002"
"12003","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","540","","","","","","M.H. Villet","2007-01-01T00:00:00","","","","","Great Fish River bridge","ZA","-31.91","25.413","","https://bio.acousti.ca/node/12003"
"12004","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","609","","","","","","Ben Price","2006-12-21T00:00:00","","","","","4km W De Rust","ZA","-33.507","22.498","","https://bio.acousti.ca/node/12004"
"12005","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","610","","","","","","Ben Price","2007-01-04T00:00:00","","","","","R407 40km E Prince Albert","ZA","-33.221","22.426","","https://bio.acousti.ca/node/12005"
"12006","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","1021","","","","","","Ben Price; M.H. Villet","2008-01-17T00:00:00","","","","","nr Addo N.P.","ZA","-33.487","25.707","","https://bio.acousti.ca/node/12006"
"12007","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","1037","","","","","","Ben Price; T. A. Bellingan","2008-01-19T00:00:00","","","","","Paniel Farm","ZA","-33.48","25.331","","https://bio.acousti.ca/node/12007"
"12008","Platypleura plumosa","PreservedSpecimen","AMGS","MHV Cicadas","1488","","","","","","M.H. Villet; Ben Price","2009-02-07T00:00:00","","","","","Nanaga","ZA","-33.607","25.922","","https://bio.acousti.ca/node/12008"
"12009","Pycna semiclara","PreservedSpecimen","AMGS","MHV Cicadas","916","","","","","","Ben Price","2007-12-13T00:00:00","","","","","Amajuba nr Newcastle","ZA","-27.562","29.885","","https://bio.acousti.ca/node/12009"
