"source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","taxon","type","lat","lon","contact"
"bio.acousti.ca","11777","Nanoletter","250","2016-10-21 15:18","view","http://bio.acousti.ca/sites/default/files/MHV%20515%20P.divisa%20S%20of%20Whittlesey%20%232.WAV","http://bio.acousti.ca/content/5152-platypleura-divisa","0","1.402666","Platypleura divisa","Call (with extraneous noise)","","","250"
"bio.acousti.ca","11777","Nanoletter","251","2016-10-21 15:53","view","http://bio.acousti.ca/sites/default/files/MHV%20515%20P.divisa%20S%20of%20Whittlesey%20%232.WAV","http://bio.acousti.ca/content/5152-platypleura-divisa","14.21821","24.65251","Platypleura divisa","Call","","","251"
"bio.acousti.ca","11776","Nanoletter","252","2016-10-21 16:08","view","http://bio.acousti.ca/sites/default/files/MHV%20338%20P.sp8%20Collingham%20Ridge%20%232.wav","http://bio.acousti.ca/content/3382-platypleura-sp-08","127.6796","138.4979","Platypleura ""sp. 08""","Call","","","252"
"bio.acousti.ca","11776","Nanoletter","253","2016-10-21 16:10","view","http://bio.acousti.ca/sites/default/files/MHV%20338%20P.sp8%20Collingham%20Ridge%20%232.wav","http://bio.acousti.ca/content/3382-platypleura-sp-08","0","9.018682","Platypleura ""sp. 08""","Voice Introduction","","","253"
"bio.acousti.ca","11776","Nanoletter","254","2016-10-21 16:10","view","http://bio.acousti.ca/sites/default/files/MHV%20338%20P.sp8%20Collingham%20Ridge%20%232.wav","http://bio.acousti.ca/content/3382-platypleura-sp-08","0","9.018682","Platypleura ""sp. 08""","Voice Introduction","","","254"
"bio.acousti.ca","11776","Nanoletter","255","2016-10-21 16:14","view","http://bio.acousti.ca/sites/default/files/MHV%20338%20P.sp8%20Collingham%20Ridge%20%232.wav","http://bio.acousti.ca/content/3382-platypleura-sp-08","9.018682","70.71620","Platypleura ""sp. 08""","Call (with extraneous noise)","","","255"
"bio.acousti.ca","15120","Edward Baker","256","2016-10-23 14:24","view","http://bio.acousti.ca/sites/default/files/01%20-%20Omocestus%20rufipes%20133_1.wav","http://bio.acousti.ca/content/omocestus-rufipes-1331","1.762292","33.83388","Omocestus Omocestus rufipes","Voice Introduction","","","256"
"bio.acousti.ca","15137","Edward Baker","257","2016-10-23 16:47","view","http://bio.acousti.ca/sites/default/files/1004_0.WAV","http://bio.acousti.ca/content/cicada-sp-milos-greece-recording-3","0","14.18645","Cicadidae","Call","","","257"
"bio.acousti.ca","10210","qgeissmann","261","2016-10-26 17:15","view","http://bio.acousti.ca/sites/default/files/573_22_Chorthippus_brunneus_716r22.wav","http://bio.acousti.ca/node/10210","40.04783","59.04084","Chorthippus Glyptobothrus brunneus","Call","","","261"
"bio.acousti.ca","10210","qgeissmann","262","2016-10-26 17:17","view","http://bio.acousti.ca/sites/default/files/573_22_Chorthippus_brunneus_716r22.wav","http://bio.acousti.ca/node/10210","67.74376","86.73297","Chorthippus Glyptobothrus brunneus","Call","","","262"
"bio.acousti.ca","15133","qgeissmann","274","2016-10-26 17:26","view","http://bio.acousti.ca/sites/default/files/03%20-%20Chorthippus%20brunneus%20868-3.wav","http://bio.acousti.ca/content/chorthippus-brunneus-8683","5","35","Chorthippus Glyptobothrus brunneus","Call","","","274"
"bio.acousti.ca","9009","qgeissmann","284","2016-10-26 18:23","view","http://bio.acousti.ca/sites/default/files/375-9_Meconema_thalassinum_324_.wav","http://bio.acousti.ca/content/3759-meconema-thalassinum324","113.3716","120.5264","Meconema thalassinum","Call","","","284"
"bio.acousti.ca","10973","qgeissmann","285","2016-10-26 18:29","view","http://bio.acousti.ca/sites/default/files/597_3_Decticus_verrucivorus_003r1.wav","http://bio.acousti.ca/node/10973","40.72037","70","Decticus verrucivorus","Call","","","285"
"bio.acousti.ca","9932","qgeissmann","288","2016-10-26 18:34","view","http://bio.acousti.ca/sites/default/files/566_1_Decticus_verrucivorus_783a.wav","http://bio.acousti.ca/node/9932","94.98201","124","Decticus verrucivorus","Call","","","288"
"bio.acousti.ca","9009","qgeissmann","289","2016-10-26 18:36","view","http://bio.acousti.ca/sites/default/files/375-9_Meconema_thalassinum_324_.wav","http://bio.acousti.ca/content/3759-meconema-thalassinum324","218.5542","232.2546","Meconema thalassinum","Call","","","289"
"bio.acousti.ca","9037","qgeissmann","290","2016-10-26 18:38","view","http://bio.acousti.ca/sites/default/files/392-4_Decticus_verrucivorus_343_.wav","http://bio.acousti.ca/node/9037","45.7215","75","Decticus verrucivorus","Call","","","290"
"bio.acousti.ca","10973","qgeissmann","291","2016-10-26 18:40","view","http://bio.acousti.ca/sites/default/files/597_3_Decticus_verrucivorus_003r1.wav","http://bio.acousti.ca/node/10973","95.92887","125","Decticus verrucivorus","Call","","","291"
"bio.acousti.ca","9037","qgeissmann","293","2016-10-26 18:43","view","http://bio.acousti.ca/sites/default/files/392-4_Decticus_verrucivorus_343_.wav","http://bio.acousti.ca/node/9037","403.7088","430","Decticus verrucivorus","Call","","","293"
"bio.acousti.ca","11071","qgeissmann","296","2016-10-26 19:06","view","http://bio.acousti.ca/sites/default/files/897_9_Pholidoptera_griseoaptera_67r3.wav","http://bio.acousti.ca/node/11071","135.9381","164.1492","Pholidoptera griseoaptera","Call","","","296"
"bio.acousti.ca","9525","qgeissmann","298","2016-11-01 11:08","view","http://bio.acousti.ca/sites/default/files/423-1_Tettigonia_cantans_596a_.wav","http://bio.acousti.ca/node/9525","105.1949","135","Tettigonia cantans","Call","","","298"
